period,in_office_total_n,deputy_background_n,deputy_background_pct,avg_deputy_legs_all_in_office,avg_deputy_legs_only_deputy_background,cat03_among_deputy_background_n,cat03_among_deputy_background_pct,deputy_background_not_cat03_n
1848–1859,144,35,24.305555555555557,0.6041666666666666,2.4857142857142858,11,31.428571428571427,24
1860–1882,687,327,47.59825327510917,1.5240174672489082,3.2018348623853212,174,53.211009174311926,153
1883–1913,1163,636,54.68615649183147,2.2674118658641444,4.14622641509434,454,71.38364779874213,182
1914–1924,711,342,48.10126582278481,2.1758087201125176,4.523391812865497,281,82.16374269005848,61
1925–1946,941,354,37.619553666312434,1.4048884165781084,3.7344632768361583,298,84.18079096045197,56
