period,in_office_total_n,deputy_background_n,deputy_background_pct,avg_deputy_legs_all_in_office,avg_deputy_legs_only_deputy_background,cat03_among_deputy_background_n,cat03_among_deputy_background_pct,deputy_background_not_cat03_n
1848–1859,144,144,100.0,8.11111111111111,8.11111111111111,11,7.638888888888889,133
1860–1882,687,687,100.0,8.200873362445416,8.200873362445416,175,25.473071324599708,512
1883–1913,1163,1163,100.0,7.9595872742906275,7.9595872742906275,455,39.122957867583835,708
1914–1924,711,711,100.0,7.2264416315049225,7.2264416315049225,281,39.52180028129395,430
1925–1946,941,941,100.0,5.023379383634431,5.023379383634431,298,31.668437832093517,643
