period,total_in_period,year_start,year_end,Regno di Sardegna_pct,Nord-Est_pct,Centro_pct,Sud_pct,Estero_pct,Regno di Sardegna_n,Nord-Est_n,Centro_n,Sud_n,Estero_n
(1848–1859),144,1848,1859,85.41666666666666,13.194444444444445,0.6944444444444444,0.0,0.6944444444444444,123,19,1,0,1
(1860–1882),685,1860,1882,30.51094890510949,26.71532846715328,14.16058394160584,27.73722627737226,0.8759124087591241,209,183,97,190,6
(1883–1913),1162,1883,1913,23.49397590361446,29.17383820998279,14.027538726333907,31.58347676419966,1.7211703958691909,273,339,163,367,20
(1914–1924),711,1914,1924,22.081575246132207,31.645569620253166,15.471167369901547,27.144866385372712,3.6568213783403656,157,225,110,193,26
(1925–1946),941,1925,1946,19.55366631243358,29.22422954303932,21.360255047821468,26.673751328374067,3.1880977683315623,184,275,201,251,30
