period,Economic elites,University professor,Military,Legal,Judiciary,Cultural,State elite,Other,Clergy
1848–1859,37,7,30,5,28,6,21,3,7
1860–1882,218,78,76,61,95,49,79,22,9
1883–1913,280,172,144,170,129,110,110,47,1
1914–1924,132,137,82,117,60,86,67,30,0
1925–1946,156,169,157,109,97,122,94,37,0
