,Landowner,University professor,Lawyer,Magistrate,Career military (Army),Other
1848–1859,17.36111111111111,4.861111111111111,3.4722222222222223,19.444444444444443,20.13888888888889,34.72222222222222
1860–1882,27.219796215429405,11.353711790393014,8.879184861717613,13.828238719068413,9.170305676855895,29.54876273653566
1883–1913,19.604471195184868,14.789337919174548,14.445399828030954,11.092003439380912,9.37231298366294,30.696474634565778
1914–1924,11.954992967651195,19.268635724331926,16.17440225035162,8.438818565400844,8.29817158931083,35.86497890295359
1925–1946,6.16365568544102,17.9596174282678,11.26461211477152,10.30818278427205,11.583421891604676,42.720510095642936
