,1848–1859,1860–1882,1883–1913,1914–1924,1925–1946,TOTAL (union)
"cat_03
Deputy",7.638888888888889,25.473071324599708,39.122957867583835,39.52180028129395,31.668437832093517,32.75497249259416
"cat_21
Top taxpayer",32.638888888888886,35.37117903930131,22.012037833190025,19.268635724331926,25.5047821466525,25.603046974185357
Other,59.72222222222222,40.756914119359536,39.63886500429923,42.89732770745429,43.88947927736451,42.65763859500635
Total,100.0,100.0,100.0,100.0,100.0,100.0
