,Landowner,University professor,Lawyer,Magistrate,Career military (Army),Industrialist-farmer,Prefect,Industrialist,Career military (Navy),Diplomat,Other,Administrative civil servant,Engineer,Journalist,Company executive,Doctor,Banker,Teacher,Merchant,Clergyman,Writer,TOTAL (%),Row sum (%)
1848–1859,17.36111111111111,4.861111111111111,3.4722222222222223,19.444444444444443,20.13888888888889,3.4722222222222223,1.3888888888888888,2.0833333333333335,0.6944444444444444,5.555555555555555,1.3888888888888888,7.638888888888889,1.3888888888888888,0.0,0.0,0.0,4.861111111111111,0.0,1.3888888888888888,4.861111111111111,0.0,100.0,99.99999999999999
1860–1882,27.219796215429405,11.353711790393014,8.879184861717613,13.828238719068413,9.170305676855895,4.075691411935954,4.8034934497816595,1.7467248908296944,1.8922852983988354,2.4745269286754,2.4745269286754,4.075691411935954,1.1644832605531295,0.29112081513828236,0.14556040756914118,1.8922852983988354,1.7467248908296944,0.29112081513828236,0.8733624454148472,1.3100436681222707,0.29112081513828236,100.0,99.99999999999999
1883–1913,19.604471195184868,14.789337919174548,14.445399828030954,11.092003439380912,9.37231298366294,4.557179707652622,4.471195184866724,3.095442820292347,3.0094582975064488,3.0094582975064488,2.407566638005159,1.9776440240756663,2.407566638005159,1.3757523645743766,0.2579535683576956,1.5477214101461736,0.5159071367153912,0.7738607050730868,0.6018916595012898,0.08598452278589853,0.6018916595012898,100.0,100.00000000000003
1914–1924,11.954992967651195,19.268635724331926,16.17440225035162,8.438818565400844,8.29817158931083,4.641350210970464,2.6722925457102673,4.360056258790436,3.2348804500703237,4.360056258790436,3.2348804500703237,2.390998593530239,2.8129395218002813,2.9535864978902953,1.2658227848101267,1.4064697609001406,0.4219409282700422,0.8438818565400844,0.5625879043600562,0.0,0.7032348804500703,100.0,99.99999999999999
1925–1946,6.16365568544102,17.9596174282678,11.26461211477152,10.30818278427205,11.583421891604676,4.888416578108395,3.9319872476089266,5.844845908607864,4.569606801275239,3.9319872476089266,4.357066950053135,1.9128586609989373,2.763018065887354,3.6131774707757707,3.8257173219978746,1.0626992561105206,0.4250797024442083,0.9564293304994687,0.3188097768331562,0.0,0.3188097768331562,100.0,100.00000000000001
TOTAL (%),15.990126165660998,15.44157981349424,12.479429511793747,11.217772901810203,10.120680197476688,4.5255074053757545,3.92210641799232,3.757542512342293,3.154141524958859,3.5106966538672517,3.0444322545255074,2.6604498080087766,2.303894679100384,2.002194185408667,1.3439385628085574,1.398793198025233,0.8776741634668129,0.7131102578167855,0.603400987383434,0.46626439934174435,0.46626439934174435,100.0,99.99999999999999
100%,,,,,,,,,,,,,,,,,,,,,,100.0,
