,cat_01,cat_02,cat_03,cat_04,cat_05,cat_06,cat_07,cat_08,cat_09,cat_10,cat_11,cat_12,cat_13,cat_14,cat_15,cat_16,cat_17,cat_18,cat_19,cat_20,cat_21,cat_numbers_extracted,TOTAL (%),Row sum (%)
1848–1859,2.7777777777777777,0.6944444444444444,7.638888888888889,6.944444444444445,11.11111111111111,0.6944444444444444,2.0833333333333335,2.7777777777777777,2.7777777777777777,1.3888888888888888,2.0833333333333335,2.7777777777777777,2.7777777777777777,17.36111111111111,3.4722222222222223,1.3888888888888888,3.4722222222222223,9.027777777777779,0.6944444444444444,13.194444444444445,32.638888888888886,0.0,100.0,127.77777777777777
1860–1882,0.727802037845706,1.1644832605531295,25.473071324599708,1.8922852983988354,10.625909752547306,0.14556040756914118,1.3100436681222707,2.037845705967977,2.328966521106259,1.0189228529839884,1.0189228529839884,3.2023289665211063,1.7467248908296944,8.005822416302765,2.328966521106259,1.8922852983988354,3.493449781659389,6.695778748180495,0.5822416302765647,9.461426491994178,35.37117903930131,0.0,100.0,120.52401746724892
1883–1913,0.08598452278589853,0.5159071367153912,39.122957867583835,0.34393809114359414,4.471195184866724,1.0318142734307825,0.945829750644884,1.891659501289768,2.5795356835769563,1.5477214101461736,0.34393809114359414,1.9776440240756663,1.0318142734307825,8.684436801375753,2.407566638005159,4.041272570937231,3.52536543422184,8.598452278589853,1.2037833190025795,1.891659501289768,22.012037833190025,0.0,100.0,108.25451418744625
1914–1924,0.0,0.2812939521800281,39.52180028129395,0.14064697609001406,6.610407876230661,1.6877637130801688,0.7032348804500703,2.6722925457102673,1.969057665260197,0.4219409282700422,0.0,0.7032348804500703,0.8438818565400844,8.579465541490858,2.109704641350211,3.6568213783403656,2.250351617440225,10.68917018284107,1.8284106891701828,4.0787623066104075,19.268635724331926,0.0,100.0,108.0168776371308
1925–1946,0.0,0.5313496280552603,31.668437832093517,0.5313496280552603,5.951115834218916,2.656748140276302,0.6376195536663124,3.08182784272051,2.4442082890541976,0.4250797024442083,0.0,2.4442082890541976,1.7003188097768331,14.240170031880977,2.763018065887354,1.9128586609989373,2.763018065887354,6.695005313496281,1.0626992561105206,3.8257173219978746,25.5047821466525,0.0,100.0,110.83953241232729
TOTAL (%),0.2449779519843214,0.5389514943655072,29.887310142087212,0.8084272415482606,5.977462028417443,1.2493875551200393,0.8329250367466928,2.1558059774620286,2.1313081822635964,0.8329250367466928,0.34296913277804997,1.8863302302792748,1.224889759921607,9.211170994610486,2.2048015678588926,2.596766291033807,2.7437530622243997,7.300342969132778,1.02890739833415,4.189122978931896,22.611464968152866,0.0,100.0,100.0
100%,,,,,,,,,,,,,,,,,,,,,,,100.0,
