,Deputati (3 legislatures / 6 years),"Contribuenti (≥ 3,000 lire tax)",Generals (land/sea),Royal Academy of Sciences,Ministers / Secretaries of State
1848–1859,7.638888888888889,32.638888888888886,17.36111111111111,9.027777777777779,11.11111111111111
1860–1882,25.473071324599708,35.37117903930131,8.005822416302765,6.695778748180495,10.625909752547306
1883–1913,39.122957867583835,22.012037833190025,8.684436801375753,8.598452278589853,4.471195184866724
1914–1924,39.52180028129395,19.268635724331926,8.579465541490858,10.68917018284107,6.610407876230661
1925–1946,31.668437832093517,25.5047821466525,14.240170031880977,6.695005313496281,5.951115834218916
