,1848–1859,1860–1882,1883–1913,1914–1924,1925–1946,TOTAL (union)
"cat_03
Deputy",7.638888888888889,25.473071324599708,39.122957867583835,39.52180028129395,31.668437832093517,32.75497249259416
"cat_21
Top taxpayer",32.638888888888886,35.37117903930131,22.012037833190025,19.268635724331926,25.5047821466525,25.603046974185357
"cat_14
Army generals",17.36111111111111,8.005822416302765,8.684436801375753,8.579465541490858,14.240170031880977,11.510791366906474
"cat_18
Academy",9.027777777777779,6.695778748180495,8.598452278589853,10.68917018284107,6.695005313496281,7.363520947947524
"cat_05
Minister",11.11111111111111,10.625909752547306,4.471195184866724,6.610407876230661,5.951115834218916,6.178586542530681
"cat_20
Merits",13.194444444444445,9.461426491994178,1.891659501289768,4.0787623066104075,3.8257173219978746,4.951333051206094
Other,23.61111111111111,17.03056768558952,20.292347377472055,17.440225035161745,18.278427205100957,18.831993228946256
Total,100.0,100.0,100.0,100.0,100.0,100.0
